season,home_team,away_team,home_off_rtg,home_def_rtg,away_off_rtg,away_def_rtg,home_pace,away_pace,home_rest_days,away_rest_days,home_form_l10,away_form_l10,home_wins
2021-22,LAL,MIA,110.02,106.75,111.13,108.24,100.4,95.12,4,1,0.716,0.684,1
2020-21,PHI,MEM,112.95,109.14,109.62,108.62,98.06,100.99,2,3,0.348,0.649,0
2019-20,BKN,IND,115.98,113.98,110.35,116.26,100.46,101.11,2,2,0.632,0.525,1
2021-22,DAL,LAC,111.83,112.49,115.86,115.04,98.25,99.42,3,1,0.467,0.363,1
2021-22,PHI,MIL,109.03,109.01,115.25,111.74,97.43,99.1,4,3,0.337,0.528,1
2018-19,MIL,NYK,113.7,105.9,112.35,109.69,100.44,98.06,2,3,0.441,0.698,1
2019-20,OKC,TOR,115.73,105.7,111.27,111.25,96.39,97.55,3,2,0.64,0.58,1
2015-16,PHI,MIN,106.74,108.04,117.14,106.08,95.86,98.16,4,2,0.483,0.858,0
2019-20,TOR,SAC,109.65,110.05,108.03,112.29,97.8,101.86,3,1,0.819,0.369,1
2023-24,MEM,ATL,112.43,117.53,112.39,109.76,101.67,99.26,2,2,0.521,0.527,1
2017-18,PHX,LAL,107.3,110.02,110.84,109.62,98.54,98.9,2,2,0.373,0.448,0
2019-20,MIL,MIA,110.98,110.92,107.53,103.83,98.93,96.2,2,3,0.602,0.528,0
2019-20,SAC,LAC,107.35,114.66,115.26,109.28,97.93,97.77,3,3,0.302,0.585,0
2015-16,CHI,DAL,107.31,115.36,110.43,112.63,97.32,96.34,2,4,0.648,0.516,1
2018-19,MIA,PHX,109.39,110.01,117.25,111.12,94.39,100.62,4,2,0.63,0.818,1
2017-18,PHX,GSW,111.41,107.54,114.66,112.02,98.43,101.32,2,1,0.576,0.769,1
2022-23,PHX,SAC,113.24,106.74,113.71,116.36,100.52,100.17,2,3,0.77,0.525,1
2020-21,PHX,ATL,113.16,102.28,108.56,112.87,99.7,101.41,1,2,0.512,0.837,1
