season,home_team,away_team,home_off_rtg,home_def_rtg,away_off_rtg,away_def_rtg,home_pace,away_pace,home_wins
2014-15,CHI,MIL,104.2,101.1,92.0,104.5,90.31,93.1,1
2014-15,GSW,NOP,107.1,98.8,103.6,111.8,95.13,94.78,1
2014-15,HOU,DAL,106.0,108.4,107.0,111.3,102.06,102.7,1
2014-15,TOR,WAS,98.5,113.4,105.0,101.0,95.03,95.26,0
2014-15,ATL,BKN,102.8,102.9,100.2,105.9,94.15,94.53,1
2014-15,CLE,BOS,106.6,102.2,100.5,108.9,91.47,94.88,1
2014-15,LAC,SAS,107.9,106.7,107.7,106.7,99.08,94.87,1
2014-15,MEM,POR,101.7,103.1,101.5,109.1,93.14,92.3,1
2014-15,CHI,MIL,104.2,101.1,92.0,104.5,90.31,93.1,1
2014-15,GSW,NOP,107.1,98.8,103.6,111.8,95.13,94.78,1
2014-15,CLE,BOS,106.6,102.2,100.5,108.9,91.47,94.88,1
2014-15,HOU,DAL,106.0,108.4,107.0,111.3,102.06,102.7,1
2014-15,TOR,WAS,98.5,113.4,105.0,101.0,95.03,95.26,0
2014-15,ATL,BKN,102.8,102.9,100.2,105.9,94.15,94.53,1
2014-15,LAC,SAS,107.9,106.7,107.7,106.7,99.08,94.87,0
2014-15,MEM,POR,101.7,103.1,101.5,109.1,93.14,92.3,1
2014-15,BOS,CLE,100.5,108.9,106.6,102.2,94.88,91.47,0
2014-15,NOP,GSW,103.6,111.8,107.1,98.8,94.78,95.13,0
2014-15,MIL,CHI,92.0,104.5,104.2,101.1,93.1,90.31,0
2014-15,DAL,HOU,107.0,111.3,106.0,108.4,102.7,102.06,0
2014-15,SAS,LAC,107.7,106.7,107.9,106.7,94.87,99.08,1
2014-15,WAS,TOR,105.0,101.0,98.5,113.4,95.26,95.03,1
2014-15,NOP,GSW,103.6,111.8,107.1,98.8,94.78,95.13,0
2014-15,MIL,CHI,92.0,104.5,104.2,101.1,93.1,90.31,1
2014-15,BKN,ATL,100.2,105.9,102.8,102.9,94.53,94.15,1
2014-15,POR,MEM,101.5,109.1,101.7,103.1,92.3,93.14,0
2014-15,BOS,CLE,100.5,108.9,106.6,102.2,94.88,91.47,0
