home_team,off_rtg,def_rtg,pace,form_l10
ATL,110.722,111.807,101.688,0.487
BKN,112.2,113.148,99.608,0.489
BOS,113.037,107.745,96.776,0.643
CHI,109.794,111.057,97.054,0.452
CLE,110.734,108.975,96.937,0.548
DAL,112.509,112.486,96.822,0.508
DEN,114.467,110.485,98.307,0.622
GSW,114.757,108.502,100.313,0.698
IND,111.24,114.08,100.384,0.421
LAC,111.67,110.919,98.747,0.517
LAL,111.348,111.447,98.945,0.51
MEM,112.183,109.502,100.98,0.559
MIA,109.705,108.805,95.747,0.505
MIL,113.303,109.745,99.902,0.618
MIN,112.218,111.236,99.98,0.551
NOP,111.756,112.869,99.461,0.452
NYK,109.482,109.213,95.829,0.5
OKC,113.031,109.037,98.372,0.587
PHI,110.887,110.052,97.713,0.524
PHX,112.696,108.584,99.347,0.601
SAC,113.085,114.052,100.283,0.461
TOR,110.462,111.907,98.494,0.49
